year,TO,P_GDPa,P_GDP,IP.IDS.NRCT,IP.IDS.RSCT,NV.IND.EMPL.KD,NV.IND.TOTL.CD,NV.IND.TOTL.CN,NV.IND.TOTL.KD,NV.IND.TOTL.KD.ZG,NV.IND.TOTL.KN,NV.IND.TOTL.ZS
1986,17.0187425082782,394.335068911307,226.49113115714792,2.0,175.0,,4437333333.33333,133120000000.0,5705080744.60555,6.90845793569193,307761430182.508,20.3790141468201
1987,16.6877976312963,398.588126655912,246.18438843608325,4.0,166.0,,4762612903.22581,147641000000.0,6197251923.61383,8.62689243221746,334311677712.207,19.6008172704812
1988,17.6780643099612,397.761911676302,262.39652162321994,3.0,176.0,,5298846024.27918,165324000000.0,6390793765.63758,3.12302685786072,344752321196.124,19.9362085702399
1989,18.3251740190693,398.852110318811,277.0620691199527,10.0,232.0,,5694953541.74236,182808000000.0,6632311203.48107,3.77914617026296,357781015339.5,19.7867069022062
1990,18.9665020125385,411.164611241749,296.87462519245514,4.0,189.0,,6365683595.33749,209431000000.0,7116306135.20751,7.29753048186888,383890193992.24,20.1456258361335
1991,18.8898268850747,415.714740930362,284.168403090338,2.0,211.0,1608.820484259,6538067226.89076,233409000000.0,7451548087.09277,4.71089840031851,401974871000.0,21.1195045357667
1992,19.9340055024511,428.661017617889,284.63812257523995,7.0,273.0,1788.34595985862,6886498673.74005,259621000000.0,7972351929.13297,6.98920326290744,430069711800.0,21.71789053342
1993,23.1215830698982,439.23000019415,291.33690600302134,7.0,328.0,2012.77787440639,7606494486.77249,287525491600.0,8617648970.9976,8.09418660391235,464880356800.0,22.9342560517422
1994,22.8658645545703,446.654812655474,290.3455619236126,1.0,337.0,2257.02260319539,7925502152.1197,317812636300.0,9318235323.60682,8.12966918201263,502673591900.0,23.4699924276778
1995,28.2094960764218,459.613367750575,319.3197686916464,19.0,287.0,2562.21917822982,8946505554.72637,359649523300.0,10262579474.1126,10.1343668378215,553616377700.0,23.5808244521571
1996,26.0760877233809,470.274688637274,382.61043661027384,20.0,396.0,2823.76315067865,10069682151.5892,411850000000.0,10953941405.059,6.7367266942038,590912000000.0,21.6839165728619
1997,26.3255133900833,481.122454006953,389.18365431502326,23.0,609.0,2835.4795823411,10547494145.1991,450378000000.0,11526337637.8406,5.22548196685801,621790000000.0,21.8626700944451
1998,27.8800634028394,495.626754059541,394.9322455401335,33.0,649.0,2931.72241645781,11326872246.696,514240000000.0,12532229754.5394,8.72690136541277,676053000000.0,22.6607423702209
1999,28.3879405571158,508.385222705121,396.9814138824285,40.0,815.0,2932.45457204576,11472233777.0383,551585000000.0,13189082144.9915,5.24130504561033,711487000000.0,22.3758655367007
2000,29.3217143619038,524.945869703516,405.2456771732037,63.0,693.0,2945.13468017367,11890459153.2499,598209000000.0,14014160968.9074,6.2557713633559,755996000000.0,22.2793826819325
2001,32.0980170730117,541.291660881083,402.3042129752264,24.0,1046.0,2933.61119795339,12193291326.9088,657950000000.0,15059852771.8482,7.46167969142695,812406000000.0,22.5838118742213
2002,28.9673807211649,551.903047733547,400.4099806027986,11.0,1020.0,2881.31275863227,12498572174.8215,717793000000.0,15933777507.8497,5.80300982513668,859550000000.0,22.8392543728467
2003,27.657884900158,568.13922556822,432.6211200122093,10.0,680.0,2851.47836965249,13520207253.886,782820000000.0,16982490898.5211,6.58169972660112,916123000000.0,22.4741487860882
2004,26.8582341492431,588.327258879369,460.7134479915583,35.0,739.0,2817.64649866549,14831544080.1767,873133000000.0,18179632834.9494,7.04927176809227,980703000000.0,22.7797200060528
2005,34.396934864465,617.542666369303,484.14210940360385,109.0,900.0,2801.28943183316,16180097560.9756,995076000000.0,19621708751.0312,7.93237096246264,1058496000000.0,23.2998442190711
2006,38.1119244325921,649.929885115528,494.00811939594007,60.0,1040.0,2896.27675927427,17305038402.3228,1162206379100.0,21544224143.7764,9.79789995427474,1162206379100.0,24.0953205119221
2007,39.9423826531735,687.323085586786,540.9349201998482,76.0,748.0,2960.60674131171,19505343318.8532,1347039009600.0,23489199693.2732,9.02782823144118,1267128374700.0,24.5005410079343
2008,42.6209140325589,720.357003907352,615.5103085831823,38.0,473.0,2975.60357713008,22657667364.8156,1554542557900.0,25141320550.0716,7.03353404276032,1356252280300.0,24.7270013036793
2009,40.092796223023,748.296060456803,680.7240861296059,38.0,954.0,3008.16366752727,25922343711.8473,1783519461000.0,26879383598.07,6.9131732541132,1450012350200.0,25.2955721814431
2010,37.8028426708321,781.153593557047,757.1935278428358,43.0,853.0,2968.05171192306,28769596138.0853,1990375600500.0,28769596138.0853,7.03220195924092,1551980147100.0,24.9564767264585
2011,47.4208498356898,822.188338841729,835.3260127162933,142.0,1155.0,3108.30749574133,32217757150.5022,2293720667900.0,31364363465.3962,9.01913017776386,1691955256900.0,25.0452996007551
2012,48.1109227476789,865.749891053711,856.0178130534235,84.0,1114.0,3264.860023766,33752286037.6357,2670717137300.0,34323778956.7347,9.43559876355735,1851601366200.0,25.309959389543
2013,46.2964027239758,907.257418044388,951.7242293994276,132.0,1100.0,3435.01028262853,39458093190.1973,3154015600400.0,37632371200.5429,9.63935890619352,2030083867400.0,26.307070164309
2014,44.5140801968096,951.314821042494,1084.5354352684662,134.0,1245.0,3571.74917485625,45487972928.6353,3535348000000.0,40703178048.1745,8.1600142368581,2195739000000.0,26.3110467833576
2015,42.0859963070382,1002.38885345832,1210.1599997903443,92.0,1284.0,3754.72234875963,52342330516.1637,4067109000000.0,44637915543.1616,9.6669048552674,2407999000000.0,26.8313948329541
2016,37.9542963529911,1062.04015786301,1358.6291824413345,97.0,1359.0,3989.04919719537,60548457702.2888,4738710000000.0,49589927086.5442,11.0937338429127,2675136000000.0,27.3461176033502
2017,35.3040000906967,1127.27176833347,1516.0222087960612,130.0,1577.0,4160.68165308823,69300619312.4368,5483065000000.0,54660299597.1626,10.2246016651116,2948658000000.0,27.7508999829539
2018,38.2448929879071,1203.21626488899,1646.1725493051142,117.0,1897.0,4564.43755986548,78198468709.3616,6422190000000.0,61252643993.9156,12.0605712836144,3304283000000.0,28.5369876541411
